gene_group,alt_gene_group,met_ratio
1.5,1.75,0.00181
1.5,1.75,0.0019
1.5,1.25,0.002
1.5,1.5,0.0023
1.5,1.5,0.0026
1.5,1.5,0.0027
1.5,1.5,0.0027
1.5,1.25,0.002713
1.5,1.5,0.0028
1.5,1.5,0.0029
1.5,1.75,0.0029
1.5,1.5,0.0029
1.5,1.25,0.003
1.5,1.5,0.003
1.5,0.5,0.003
1.5,1.25,0.003
1.5,1.5,0.003
1.5,1.25,0.00303
1.5,1.75,0.003
1.5,1.75,0.00325
1.5,1.5,0.0034
1.5,1.5,0.00341
1.5,1.75,0.003571
1.5,1.75,0.0037
1.5,1.75,0.003732
1.5,1.5,0.004
1.5,1.75,0.004
1.5,1.5,0.0044
1.5,1.5,0.0046
1.5,1.75,0.0046
1.5,1.75,0.004647
1.5,1.5,0.0048
1.5,1.75,0.004819
1.5,1.75,0.0049
1.5,1.5,0.0051
1.5,1.5,0.0052
1.5,1.25,0.0053
1.5,1.75,0.0053
1.5,1.5,0.0056
1.5,1.5,0.006
1.5,1.75,0.006
1.5,1.75,0.0061
1.5,1.75,0.0062
1.5,1.75,0.0063
1.5,1.5,0.0067
1.5,1.5,0.0067
1.5,1.75,0.007
1.5,1.5,0.0073
1.5,1.75,0.0075
1.5,1.75,0.0076
1.5,1.5,0.0076
1.5,1.5,0.0078
1.5,1.75,0.008
1.5,1.5,0.0081
1.5,1.25,0.00853
1.5,1.5,0.0086
1.5,1.75,0.0091
1.5,1.5,0.0095
1.5,1.5,0.0096
1.5,1.5,0.00967
1.5,1.75,0.01
1.5,1.5,0.0102
1.5,1.25,0.0104
1.5,1.5,0.0106
1.5,1.75,0.011
1.5,1.5,0.0111
1.5,1.25,0.0112
1.5,1.5,0.0113
1.5,1.75,0.0116
1.5,1.5,0.012
1.5,1.5,0.0135
1.5,1.75,0.01451
1.5,1.5,0.015
1.5,1.25,0.0156
1.5,1.5,0.016
1.5,0.5,0.016
1.5,1.75,0.016
1.5,1.5,0.0166
1.5,1.5,0.0168
1.5,1.75,0.0172
1.5,1.25,0.0175
1.5,1.5,0.0177
1.5,1.75,0.0182
1.5,1.5,0.019
1.5,1.75,0.019
1.5,1.5,0.0194
1.5,1.5,0.0194
1.5,1.5,0.0197
1.5,1.5,0.02
1.5,1.5,0.02
1.5,1.5,0.0209
1.5,1.5,0.0223
1.5,1.25,0.0266
1.5,1.75,0.028
1.5,1.75,0.028
1.5,1.5,0.0325
1.5,1.5,0.034
1.5,1.5,0.0361
1.5,1.75,0.0363
1.5,1.5,0.037
1.5,1.5,0.0399
1.5,1.75,0.0404
1.5,1.5,0.0422
1.5,1.75,0.043
1.5,1.5,0.0438
1.5,1.75,0.0456
1.5,1.5,0.0537
1.5,1.5,0.0546
1.5,1.5,0.0565
1.5,1.5,0.0574
1.5,1.5,0.0638
1.5,1.75,0.0667
1.5,1.5,0.0754
1.5,1.5,0.0808
1.5,1.5,0.099
1.5,1.5,0.104
1.5,1.5,0.1139
1.5,1.5,0.122
1.5,1.75,0.172
1.5,1.5,0.1857
1.5,1.75,0.2222
1.5,1.75,0.768
1.8,2,0.001
1.8,1.75,0.001
1.8,1.75,0.0019
1.8,1.75,0.002
1.8,1.75,0.00241
1.8,1.75,0.0025
1.8,1.75,0.0027
1.8,1.25,0.0027865
1.8,1.75,0.00279
1.8,2,0.003
1.8,1.75,0.0033
1.8,1.75,0.003307
1.8,2,0.0035
1.8,1.75,0.0038
1.8,2,0.004
1.8,1.75,0.004
1.8,2,0.0044
1.8,2,0.0047
1.8,2,0.005
1.8,1.75,0.005
1.8,1.75,0.0072
1.8,2,0.0082
1.8,2,0.00822
1.8,1.75,0.008655
1.8,1.75,0.0096
1.8,2,0.01
1.8,1.75,0.0119
1.8,1.75,0.013
1.8,2,0.0209
1.8,2,0.0289
1.8,2,0.0308
1.8,2,0.0409
1.8,1.75,0.0414
1.8,2,0.04202
1.8,1.75,0.046876
1.8,1.75,0.0544
1.8,1.75,0.055
1.8,1.75,0.0671
1.8,2,0.0714
1.8,1.75,0.1636
2,2,0.00016
2,2.5,0
2,2,0.0004
2,2,0.0006
2,2.25,0.00059
2,2,0.0007
2,2.5,0.000744
2,2,0.0008
2,2.25,0.0008
2,2,0.0009
2,2.5,0.00087
2,2.25,0.00088
2,2,0.0009
2,2.25,0.00093
2,2.25,0.00097
2,2,0.001
2,2,0.0011
2,2,0.0011
2,2.25,0.00114
2,2.25,0.0012
2,2.5,0.0013
2,2.5,0.001
2,2.5,0.0014
2,2.25,0.0014
2,2,0.0014
2,2.25,0.00149
2,2,0.0015
2,2.25,0.0015
2,2,0.0015
2,2,0.0016
2,2.25,0.00166
2,2.5,0.001662
2,2,0.00179
2,2,0.0018
2,2,0.002
2,2.25,0.0019
2,2.25,0.002
2,2.25,0.002
2,2,0.002
2,2,0.002
2,2,0.00202
2,1,0.002
2,2,0.00204
2,2.25,0.00209
2,2,0.0021
